question,answer
22岁女，情绪上来容易哭，开始出现自虐倾向怎么办？原本只是到了晚上容易哭，这两年白天也会因为一些莫名其妙的突然掉眼泪。我很害怕吵架，父母说话一大声我就会害怕。成年之后我想着在他们吵架的时候制止，结果我只会边吼边哭。萌生过是不是没有自己家里人就不会吵架了的想法。今天早上是吵得最凶的一次，我真的很害怕，劝阻无效之后就把自己关在房间里狂哭。感觉自己特别没用，他们继续吵着也没人来理我，直到吃饭。以前我会选择睡觉来逃避。但这次不知道为什么就开始用美工刀划自己的手，有一瞬间轻生的想法，但还是怕死吧，虽然划自己的胳膊很多刀，但不过是那种像猫咪抓伤的那种程度。轻微的疼痛和灼烧的感觉反而会让我感觉好了些，甚至有一种上瘾的感觉。后来一整天无所事事，提不起劲，也没什么胃口，甚至反胃。朋友说自虐会上瘾，害怕我变态，但我觉得让我去看医生会不会说得太过了，我感觉我应该只是正常发泄情绪而已…我该怎么办？不敢和家里人说，他们只会觉得我神精病…只会让我更难过…,"你好，希望以下回答能对你有所帮助。️**首先对你所描述的情况梳理如下：▲父母说话大声会害怕害怕吵架，▲劝阻无效后自己大哭无人理会，▲开始自伤自残越来越难过伤心。**从你描述“害怕吵架，父母说话一大声我就会害怕”来看，应该是在你自年幼成长过程中，一直受到父母关系的较大影响。同时在这样的吵架中，你把攻击转向了自己，“萌生过是不是没有自己家里人就不会吵架了的想法”但实际上，父母的关系本身的问题，他们自己是不懂得处理婚姻关系的，所以才会如此，所以错并不在你。而你把错误投射于自己。**应该说，也许你的童年成长经历是不幸福的，是不幸中的一种。在你今天22年的年龄，按理应该是你已经成年了，开始拥有强大的自我了，但你仍然在父母吵架时显得崩溃，可见你的内在的自己仍然非常弱小，非常自卑。而你内在的弱小，无法把错误指向他人（父母），而归咎于自己，会觉得：++是不是我不应该出生在这样的家庭？++是不是我不好造成他们的吵架？++是不是我无能不会帮助他们和谐关系？++是不是都是因为我造成这些……而你把这些所有错误的指向了自己，其实都是错的。**心理学家阿德勒说，幸运的人，一生都在被童年治愈，不幸的人，一生都在治愈童年。苏珊·福沃德博士在《原生家庭：如何修补自己的性格缺陷》中，曾提出“有毒父母”是如何影响我们的人生。前几年，国内也曾有过“父母皆祸害”的讨论，虽然有些观点有些片面，但仍然引起很多人的共鸣。可见，原生家庭和童年经历，在我们的一生中是有多么大的影响。但是，有不幸的原生家庭，我们就不过了吗，我们就自暴自弃了吗，就一直自残？正如上面所说，你可以选择“被童年治愈”，也可以选择“治愈童年”。抱怨、悲伤、愤怒，需要表达和疗愈，但之后，更多地是要看到未来。因此在当下来说，你需要的是好好成长，待成家立业，再善待自己的家庭自己的子女，好好爱他们。这是你可以选择的！电视剧《都挺好》里面的女主角苏明玉打小因为自己是女孩，家境不好，上有两个哥哥，一直不受待见感受不到家的温暖。家里举全家之力甚至卖房供养大哥上了美国斯坦福大学，给二哥买分上大学找关系找好工作，而自己呢，因为哥哥上学，房间被母亲卖了，自己只能住客厅；上了尖子班母亲却不给上，不给上自己想要的清华只给上师范，母亲说你是一个女孩以后要嫁人的，我老了指望哥哥养老不指望你。可想而知苏明玉的内心是有多痛苦。但她没有为原生家庭束缚了理想，她依旧很努力很勤奋，最后找了销售工作并做了企业白领还是高层。她成功地脱胎于原生家庭了！ε我在，世界和我爱着你。"","
"不知自己为什么会自残，也不知该怎么阻止自己自残？有时会因为心情不好或者自己犯了错误而自残但有的时候会莫名其妙的自残会用针扎自己的血管抽血自残（扎不中就一直扎）这样严重吗该怎么缓解"",",看完你的倾诉，深深地理解你的痛苦。给你一个温暖的抱抱。以下是我的分析:1没有人是不怕疼的，那为啥还会自残呢？因为精神上太痛苦了，痛苦地想要自杀。于是只能借助自残，也就是肉体上的痛苦来转移内心的痛苦。2学会爱自己。这个世界上找不到一无是处的人。每个人都有自己的闪光点。天生我材必有用。学会放大自己的优点，缩小自己的缺点。慢慢地，你就能接纳不完美的自己。3放过你自己。人非圣贤孰能无过。就算全世界都在责怪你，你也要放过你自己。感恩帮助过自己的人，向自己伤害过的人忏悔。这就是保持快乐的秘诀。感谢你的问题，愿世间美好与你如期而至。
"近半年，脾气暴躁爱哭，情绪激动时出现自虐自残行为？半年前被分手了，接着因为疫情在家呆到现在。被分手时，心情非常难过，后来回到家因为疫情又闭门不出就开始迎来了很长时间的自我反思和自我否认，反思自己是不是哪方面做得不好，否认自己的一切行为。这半年脾气越来越暴躁，也越来越爱哭。只要家里人对我表现出稍稍不满，我就哭，因为是家里的长女，有时还会觉得父母区别对待（妹妹12岁，我21岁）。就在前几天，跟妈妈吵架了，情绪激动到想离家出走，被妈妈拦住了，拦住后又开始撞墙自虐，后来在跟妈妈谈话时，情绪再次激动控制不住的挠自己的脸（额头被挠出一道口子）。怀疑过自己可能有抑郁症，但是这种自虐自残情况也不是经常有，有时候这样了之后，差不多第二天第三天就能恢复正常心情，甚至会觉得自己前几天的行为丧心病狂。但是只要自己稍稍一点不顺心的事，就会很难过，会去哭。会想象自己去死，但是从没去做过任何自杀的行为。脾气也很暴躁，对爸妈也很没耐心…"",",题主你好首先，我想和你说，被分手，并不是你做的不够好，只是你们不合适而已。前段时间的热新闻，日本第一美女都会丈夫出轨了，感情的事情，真的不是用优秀与否来衡量的。两个人的感情，与很多因素有关，两个人的性格，两个人的观念，双方的需求，等等，所以，分手，只代表你们可能在某方面不够契合，这并不是你的问题。所以，自我反思可以，可以想一想，以后可以如何更好的去经营一段感情。但是，一定不要自我否定，特别是否定自己的一切行为。你的脾气暴躁，爱哭，对他人的行为敏感，或许，也都是与你的自我否定有关。越是否定自己，内心越是感觉到没有价值感，越是希望得到他人的认可，所以，对他人行为越是敏感。而我们所看到的他人的行为，往往是带有一个滤镜的，并不是完全客观真实的。这个滤镜与你的心理状态有关。自信的时候，不管别人如何否定，可能都不会影响到你的自尊，但是不自信，否定自己的时候，即使别人的赞美，在你看来，可能也是假惺惺。所以，你觉得家人人对你不满，对你和妹妹区别对待，很有可能，也只是你自己想当然的而已。父母对待不同年龄段的孩子，本来就态度会不一样。回想一下，你自己十二岁的时候，父母又是如何对待你的呢？特别是当你妹妹还没出生以前，你一直享受着父母的独宠。父母不是区别对待，只是你已经长大了，父母对待你的态度，也跟着变化了而已。自残自虐，并一定是抑郁症，我们很多人，都有可能在情绪很激动的情况下，会捶打自己，伤害自己，发泄内心的痛苦，只要没有给自己带来很大的伤害，而且能够很快恢复过来，其实也没事。不过，如果自残自杀的想法太过频繁，而且无法排解，建议最好去看看心理医生，或者心理咨询师。抱抱你，世界和我爱着你！(^_-)。
"19岁女生，长期的自虐倾向，怎么才能戒掉？我也不知道为什么，大概是从3岁开始，我就有这种行为，一个人时会做出伤害自己，打自己的动作，还有有的事情明明不喜欢不擅长，甚至很害怕去做，但好像有时有个声音在说，有什么好怕的，去。我有时好像一直很抗拒自己，很讨厌自己。但每次当我伤害自己后，脑子好像又会突然清醒，然后看着自己那时的动作，会有一瞬间很诧异，我为什么要这样？？然后就又会突然停下，发呆，就会想，我怎么了？为什么？！就不知道什么时候就会这样，然后伤害之后又会瞬间清醒，太痛苦了！我好想戒掉这种伤害自己的行为啊。正常的我脾气是超好的，但高中时有一次，只是因为一件小事，同学闹着玩戳我，我就和同学发了脾气，很生气的那种，我居然还摔了东西，然后自己一个人就一直在哭，大概过了十分钟吧，我好像又清醒过来了，然后自己又去找那个同学一直道歉，我真的感觉我那时的脾气不受控制，我不知道我为什么会这样，我也不想的。那次之后就会刻意地控制情绪，真的不想再有一次""","按照智能构建论的说法，人的整体智能其实是由一个个的微小智能体构成。每个微小智能体都是个人的某个经历或类似的经历培育，成长。通过小智能体之间个个关联（联合起来能做更多的事情）、层层管控（相互之间不完全一致时，需要上级智能体来协调），最后通过行为表达出来个人的综合智能。挑战自我是一种智能（这有什么好怕的？）。自我保护也是一种智能（会不会害到我？）。两者之间发生冲突的时候，若是通过自我对话或是他人引导，产生一种自我发展的智能（挑战自己也没问题，但是要服从于安全前提），可能挑战自我的某一些冲动就可以被抑制住。看你的描述，那个“有什么好怕的”声音，缺少点“这样做对自己安全吗？”的考量。这个智能体没有发展起来，就可能导致你受那个声音驱动而产生冲动。能理解你，不想再有下一次那种想法。这想法需要有一种“权衡考量”的智能体来具体管控、落地——每当有冲动的想法时，这个智能体就跳出来发挥作用。那时自己就真正成长了。"","
半个月失眠不想吃东西，无故想哭想自残，是怎么回事？本来睡眠特别好，就这几天经常轻微失眠，食欲不振，无缘无故想哭，然后还想自残,"楼主你好！突然失眠，食欲不振，特别想哭，这些症状可能跟生理和心理都有关系。你可以先排查一下。生理原因，可能和内在分泌系统有关系。《渡过》一书中提到，大脑的的神经递质主要要三种：血清素、去甲肾上腺素、多巴胺。血清素掌管情感、欲望、意志；多巴胺传递快乐；去甲肾上腺素提供生命动力。如果这三种神经递质失去平衡，神经元接收的信号减弱或改变，人体就会出现失眠、焦虑、强迫、抑郁、恐惧等症状。心理原因，你也可以自己排查一下，最近工作上，生活上，感情上是不是发生什么重大事情？有什么因素刺激你情绪波动？还是内在曾经受过创伤被激发了？如果是生理上，建议去医院检查一下，配合药物治疗调节一下。如果是心理上的变化，建议可以找专业心理咨询师做一段咨询。没有无缘无故的反应，内在一定有些因素，导致身体给你做了提示要去调整和改变，这就是身体知道的秘密。尽快找到真正原因，才能有的放矢！"","
封闭式国际学校，因为跳过级，基础不一样，英语和其他人相比差距有点大，而老班正好又是英语老师，每次月考似乎都得被找去谈话。我是学校交响队的成员，平时活动很多，一天九节课两个自习，我自习几乎都没上过，都在排练，时间特别紧，没法做到“温故知新”。上学期期末考试，我英语没考好，老班当着全班同学的面骂我，当时特别崩溃，眼泪一直在眼眶里打转，为了不让眼泪掉下来，死命的掐自己，才忍住想哭的冲动。下半学期又没考好，每天都阴沉沉的。发现一个发泄的好方法，就是借用肉体的疼痛来缓解内心的痛苦。开始我用小刀划手腕，可惜我怕死，只好拿非常尖锐的笔帽来划胳膊，既可以让胳膊血淋淋的十分疼，满足我的欲望，又可以让我缓解痛苦。我渐渐的上了瘾，一有空就拿笔帽来划胳膊，老师发现后，说我思想不正常，没人理解我我好绝望...我渐渐明白，我之所以活到现在，是因为我有一颗想死而又不敢死的心,楼主你好，给你温暖的抱抱(づ′▽`)づ通过你的描述我了解到：（1）楼主感觉自己没有人理解，很绝望（2）楼主会有一些自虐的习惯接下来是我的分析和建议，希望可以帮到楼主：（1）首先，想和楼主谈一下成绩问题。因为你有跳过级的经历，说明楼主是一个天资聪颖的人，你已经比同龄人厉害很多了，而且楼主积极参加社团活动，让我看到了楼主的特长所在以及坚持不懈的的精神，所以这样厉害的楼主面对英语时，一定不会是困难的，相反，感觉楼主只要在课上做出百分百的投入，或者找时间复习一下，楼主肯定不会输给任何人，因为你的能力是一直在的。（2）其次，关于楼主老师的问题，老师的约谈和说教，其目的是想敦促楼主提高成绩，而不是有意想要伤害楼主，想到这里是不是会好些，但老师其实有些语言是不正确的，比如说你思想有问题，所以楼主对于这个老师的话要批判性吸收，不能全盘吸收。（3）最后，楼主有自己伤害自己的行为，很理解楼主想要寻求一种宣泄的方式，但伤害自己总归还是不可取的，关于是否为抑郁症，我不是咨询师，没办法给楼主准确的判断，但还是想建议楼主去做一下系统的咨询哦！这样可以更准确的判断自己是否有这样的问题，咨询师也会帮助你找到合适的宣泄方法。#世界和我爱着你，祝好~。
"17岁高二女生，激动时会自残，该怎么控制情绪？"",
""description"": ""我是一名17岁高二女生，总是容易控制不了情绪，有时候激动了就自残，我知道这是不对的，但是控制不了，今天跟妈妈又吵架了，差点一冲动就割脉了，但是还是控制不住自己自残。",题主你好给你一个温暖的抱抱题主的年龄处于青春期，情绪波动较大不稳定，也属于该时期的一个正常表现，不过题主有些情绪过度甚至出现自残，这是需要注意的。想先请题主考虑几个问题：题主情绪波动一直如此还是经历了一些事情导致？是否跟疫情期间在家太久有关呢？跟妈妈或者说一家人关系怎么样？父母关系呢？这些问题都有可能导致情绪波动较大，且难以平静下来，不太清楚题主的具体情况，下面做一些简单的假设性建议，如有问题请随时联系我。首先，题主的理智还是存在的，知道情绪过激和自残行为是不对的，但是情绪上来又控制不住。相信题主能感受到自己什么时候情绪激动，在这个时刻无论是在和谁争吵都请先深呼吸，调节自己的身体状态，同时还可以暗示自己“我感受到我过激的情绪了，我接受这样的自己，但是我不需要伤害自己”。或者说做不到完全冷静下来，可以先逃离吵架的地方，跟对方说“咱们俩先冷静下来，待会儿再谈这个话题”，终止吵架也是不错的方法。其次，和父母吵架大多时候是彼此不太了解，在平时心情好的时候，可以多跟父母进行沟通，多讲一讲自己发生的事情或者说一说自己的真实想法。虽然不能被完全理解，但也会大致知道想法，很多时候也就避免了吵架了。最后，无论什么时候、发生这么事情，都一定要好好爱惜自己的身体和健康，能活到这个世界已经很不容易了。别担心，别害怕，世界和我爱着你！愿一切安好！
"明知会被咬，还去招惹狗，这是什么心理？家里养了狗，明知道它会咬我。我还故意去招惹它。经常惹到特别厉害，被咬了才罢休。这种行为是出于什么心理"",",楼主，你好，不确定性，让人感到恐惧，而为了获得确定感，我们不断地行动去填补自己的恐惧。从你的描述中，可以感受到你对明知会被咬，但又去招惹狗的自己的行为，感到困惑不解。可能你内心是非常害怕和恐惧被狗咬这件事情的，不清楚在你没有招惹它的情况下，它是否咬过你？或许，你的潜意识认为，与其最终都是被咬的结果，不如让自己早一点接受结果，然后可以放下一直处于恐惧和焦虑的心理状态。比如当我们在班级中，要求每个人都发言的时候，有些人会因为害怕，而不断地拖延发言顺序；而有些人因为，反而想着早点上去讲完，早点解脱；还有些人明明内心很害怕，还到处和人说自己一点都不害怕，等下一定讲得很好。面对恐惧，每个人都有不对的应对方式，可能你属于第二类人，想着早点摆脱，早点结束。建议你直面自己的恐惧，接纳自己害怕和恐惧的心理，而不用掩饰。怕狗是正常的现象的，因为我们担心自己的身体会受到威胁，而面对危险，产生恐惧是可以理解的。可以让自己改变自己的认知，即不是狗每次都要咬你的，而是你内心认定每次都会被咬，所以才忐忑不安。可以的话，远离家里的狗一些，将自己的恐惧外化，而不是隐藏，慢慢地改变自己的行为，不去招惹，去找其他方式娱乐或者和朋友玩，能做的事情还有很多的。祝好。
13岁女生，最近这段时间变得消极脾气暴躁，想自残？以前的我开朗乐观向上，最近几个月，我很消极，没有办法在一个小时内入睡，一闭眼，就会想东想西。有什么不如意的就喜欢自残，但也不是用刀划手，只是使劲咬手臂，或者掐手臂。请问我是不是用心理问题了？,你好呀，感谢你的邀答，今天上班一直很忙，所以现在才来回答1.以前乐观开朗，最近几个月消极。请问最近除了疫情，还有发生什么特别的事情吗？你可以自己静下来想一想，理一理，找到什么事以及原因，会有助于改善你的情绪。2.没办法在一个小时内入睡，想东想西。对于这个烦恼，建议你可以试一试的冥想星球，里面有睡前的冥想，可以帮助你放松下来。我前一段时间睡眠也很不好，天天失眠到两三点，后来通过冥想，现在睡得很好了。听了冥想你不一定就马上睡着，但是没关系，跟着口令进行呼吸、放松，就可以了。3.会咬手臂、掐手臂，是不是有心理问题？看到这个，我也想起我以前也会有这样的情况，真是让人怪不好意思的。以前自己情绪控制能力比较差，有时候真的很不开心，想发泄一下什么的，也会做这样的事情。后来随着自己长大些，成熟些，情绪觉察能力和控制能力的提升，也就不会做这些事情了。总的来说，不用太焦虑担心了，试一试冥想、运动、音乐、瑜伽等等，让自己身体先放松下来。然后整理观察自己的情绪，看看是什么事情让自己变得这样。
"减肥很极端，心理暗示很刻意，我可以继续下去吗？本人女，大二，之前寒假突然长胖20斤，很苦恼，于是节食减肥。可以一周三天不吃饭只喝水，其余时间吃一点水果，就这样节食一月瘦了15斤。但是第二个月有点忍不住了。开始吃饭，一吃就吃多，吃了又有负罪感，催吐或者又断食两天，直到体重没有突增。然后又开始吃。已经吃饭—断食形成了循环。身体已经出现不适，但又不知道要怎么去停止。减肥的愿望一直很强烈，可不知道该怎么办了。吃了就觉得负罪感很强，很难受，我该怎么办？"",",你好，题主。爱美之心人皆有，但没人喜欢刻意，就连你身体池抗拒。是，道理都懂，那就行动呗。毕竟还是健康自然吸人眼球。首先合理膳食搭配。垃圾食品是催胖的原因之一。重点：高热量食品。再就是管住嘴，坚持七八份饱。重点：戒零食。最后迈开腿。不用刻意去健身馆，有空多走动。重点：久卧沙发。温馨提示：陡然胖起来好减，节食会反弹。而保持良好作息，才能有助于身心健康。其实你不知道，你笑起来真美。
"为什么生气的时候总是忍不住伤害自己？我自己在平常生活中遇到别人的欺负第一时间就会发飙把心情都表露在脸上，事后一个人的时候就会一直指责自己自问“是不是这件事是我做错了”双重折磨下，严重的时候我会用尖锐的东西伤害自己来使自己清醒。跟男朋友吵架的时候有时候气的喘不过气来我会忍不住用拳头打坚硬的地板打的自己手淤青为止。好像这两年出现这种情绪的时候更不能控制自己了？对了，我小学的时候，性格老实，总是受同学欺负也不敢吭声，是否有关联？后来青春期后脾气开始变得暴躁，也许觉得只有发脾气才能保护自己吧。好痛苦"",","题主，你好，理解你内心的痛楚，先给你一个温暖的拥抱，从反馈的信息来看，目前在处理不开心、烦恼或者忧愁时，存在情绪化的表达方式，以及存在自我伤害的表现，难能可贵的是，你已经认识到这种做法的不妥之处，主动的寻求帮助，这是一种非常积极的心态。保持乐观，积极面对压力。其实在生活当中，不如意事十之八九，因此，在遇到不开心时，首先，在心里面要认识到，这是一种很正常的心理现象。避免过度的去解读，平常心去面对。接纳已经发生的现实，积极的去应对压力和困惑。调整一下心态，遇见更好的自己。在遇到困难或者问题的时候，大部分的人，内心都有一种焦虑的状态，如果我们保持平常心，在处理事情时，就会变得理性而从容，因此心态的调整，会带来自身的改变。换一种处理问题的方式，换一种心情。题主的表现，在处理负面情绪的问题时，容易把矛头指向自己，自我否定，做出一些自我伤害的表现，这种破坏性的疗愈行为，至少没有学会好好善待自己。可以试着去表达自己的问题，通过语言来倾诉自己的情绪状态，避免过分的压抑和否定，只要你愿意改变，一切皆有可能。我是有去缺点的，但是我不怕。我们每一个人都不是先贤胜者，因此，都会存在这样或者那样的不足，因此，面对自己的问题，要学会接纳和面对，一个并不完美的自己。避免对自己提出完美主义的要求，毕竟，理想中的自己和现实中的自己，还是存在一定的距离，是不能够画上等号的。积极行动，乐观面对。改变情绪的秘诀在于行动。情绪的改善，往往从人际关系的良性互动开始，不妨在生活中多接触一些积极乐观的人，从他们的身上，学习处理负面情绪的方法。群体的智慧，会让你感受到支持的力量，鼓励的力量，请你行动起来吧。希望可以帮助到你。"","
"就是最近不知道怎么就很想自杀。没有抑郁。安眠药也吃了好多不管用，之前用刀割过自己手腕脉搏四周，流了很多血但是就是没死。为什么想死我也不知道，就感觉世界特别无聊，想死了然后离开这个没意思的世界。我还把所有的想到的自杀方法写进了一个本子里。之前借了一根绳子，本来都要上吊了结果被爸妈阻止下来了，那时好像是九岁的样子『现在十七岁了』昂就这样"",",亲爱的题主，此时此刻你仍然感到痛苦。当我们让痛苦在身体里流动时，它会慢慢的滋润我们，也许未来也会因此获得一份新的力量。也别忘记，你可以休息一下，停一停。时光是用来感受的，我们还有时间。累的时候，休息一下。
"初三学生，感觉自己做什么东西都是徒劳的。回到家只能看到父母板着脸，厌学。不知道为了什么。为什么要继续坚持下去。好想死，感觉好累，自己在别人眼里一无是处。"",","孩子，你还活在别人的眼里，没有真正为自己活过，你是主角的人生大戏还没开始。父母对孩子来说非常重要，孩子一开始是在与父母的互动中，逐渐认识自己、认识他人、了解世界，对父母的情绪非常敏感，非常重视父母的评价，常常从父母那里学会如何评价自己，如何看待世界。父母经常板着脸，孩子当然难以开心。父母对孩子再重要，也注定孩子要与父母分离，孩子有他自己的人生轨迹与使命。你现在十几岁，一方面要更独立自主，一方面仍需要依靠父母，同龄人对自己的影响加大，父母的影响力逐渐减弱，正是逐步从家庭走向社会的过渡阶段。你可能会发现，你的父母和理想的父母不一样，你想做的和你能做的有很大差距，可能有时已经很努力了，还是得不到想要的结果，会失望、失落等。面临升高中，初三学习压力变大，父母和老师更多关注成绩，可能忽略了你的心理需求。多和同学朋友聊聊，你会感觉好一些，必要时寻求心理援助。每个人都有自己的优势，即使你现在成绩不好也不是一无是处，你肯定有不少优点没有被你重视的人看见，还没有机会展示你的才华。若干年后你会发现，其实别人怎么看并不重要，自己要重视自己，爱护自己，自己才是主角。"","
没有任何感觉，今天有种自杀冲动，在大脑中模拟从三楼跳下去，但是三楼太低，死不了。再救活自杀没成功那就不好了。觉得死亡是一件很平和的事，我是不是到了死前安静期？,题主你好不知道你经历了什么让你感到很难受的事情，使得你产生这样的想法，给你个抱抱~1、产生这样的想法持续了多久呢？如果已经有一段时间，建议你尽快告知家人，和家人聊聊你的困扰；有必要的话还需要到专科医院做检查和诊断，专业医生能够给你更合适的康复建议。2、留言中你提到，如果你选择伤害自己，是有人会来救你的，说明你知道身边有人在关心你，有人爱着你，同样，在你遇到困难的时候，也一定有人愿意握住你的手，与你一起度过难关。所以不要害怕，你身边的亲友、小耳朵和平台素不相识的热心小可爱都在支持你和陪伴你呀，无论遇到什么困难，都一定有办法解决的，不要放弃自己祝好！世界和我爱着你。
和父母住很痛苦，我想自杀，但是父母不让，我感觉父母不让我自杀仅仅是怕影响到自己的声誉，怕别人说闲话。我现在被自己折磨的身体很差，整天没精神，很崩溃，缺少勇气，请问如何才能让自己独立生存？,"题主你好给你个大大的拥抱，留言中你提到：1、不想和父母一起住；2、你觉得父母阻止你伤害自己并不是关心你，只是怕影响自己的声誉；3、你想要自己独立生活；分享一些个人的看法：1、首先你可能要和父母沟通一下，是因为什么原因父母一定要和你一起生活，而不让你独立居住。沟通的前提是了解彼此的想法，而不是一味输出自己的观点，了解一下父母的想法，能够让你更好地向他们表达你的想法。2、觉得父母阻止你伤害自己是为了维护自己的声誉，在你眼中，父母应该是很看重声誉的人，但还有可能是父母因为不善于表达关心的说辞，他们发现你有这样的想法的时候，内心可能觉得很生气、很愤怒，觉得自己辛苦养大的孩子如此不珍惜自己的生命，所以用这个说辞来数落你，但相信他们的本意是爱护你的。3、你说想要自己有独立的能力，但这种能力是要经过时间锻炼出来，独立意味着能够独立做判断、理性解决问题、做事有自己的规划、有独立的经济能力等，就像这一次想要自己居住这件事情，有独立意识的人不会通过伤害自己的方式或其他威胁的方式来解决。独立的能力不是一朝一夕就培养出来的，你需要在以后的生活中，让父母渐渐看到你能够对自己负责，对自己的未来负责的态度。希望能够帮助到你，祝好！世界和我爱着你。"","
17岁，总被父母骂，没有固定的朋友，每天都想自杀？感觉别人真的好幸福，而自己什么都没有，还有一身的厄运。而且自己总是莫名其妙的流泪，没什么活的欲望,"题主你好呀~给你个大大的拥抱，谢谢你让我成为你的倾听者~1、你说觉得别人很幸福，这种说法就有点像俗语中说的“被人家的饭更香”那种意思，在我们的眼中，别人都比我们好，那是因为我们关注自己没有的东西，然后发现别人拥有，也就很羡慕。但是却不知道，别人同样羡慕我们所拥有的他们所没法得到的东西。所以说，幸福的感觉是在某个范围内相对而言的。2、你说总是一身厄运，不知道你是经历了什么事情，让你感到生活如此不顺心，但是任何的不如意其实都有原因的，是因为学习上的压力，还是家庭的压力，还是因为个人身体上的不适......有时候生活也会出现蝴蝶效应，一件事情的不顺利，会影响到我们其他方面的生活，比如情绪不好的时候影响学习和社交。3、所以要调整状态，恢复生活的平衡，你需要找找自己需要解决的问题是什么，如果没能找出来，建议你和学校的心理老师聊聊，或者求助心理咨询师及社区的社工，专业的人员会帮助到你~祝好！世界和我爱着你。"","
"""我经常会觉得自己一无是处，觉得自己不配拥有美好的东西，想法极端，有时还会自我封闭，钻牛角尖。之前有过自残，每次自残之后都会有一种解脱感。特别想一了百了，想过很多次自杀，但每次想到这都会觉得，父母在我身上倾注了很多，如果我死了，他们就太亏了。多年的投资全都打了水漂。活着起码还能让他们收回点儿本钱。但是真的想死。想要是突然得个重病就好了。所以平常也不怎么爱惜自己，生过几次病，全都是因为自虐式的减肥造成的，有较为严重的偏头痛还有贫血，还有很多次的暴食催吐。总之，这样的自虐能让我心理好过一点。我也不知道为什么，这是不是一种心理或精神疾病呢，需要专业的治疗吗？""",你好啊，很愿意探讨你的困惑。觉得自己一无是处自残自虐催吐想自杀看着你的叙述，你觉得不配拥有美好的东西，有过自残自虐，有种解脱感，让自己心里好过一点。想自杀，又觉得愧对父母。但是“真的想死”，想要是突然得个重病就好了。所以平常也不怎么爱惜自己，生过几次病，都是由于“自虐式的减肥造成的，有较为严重的偏头痛还有贫血，还有很多次的暴食催吐。”从你的描述来看，认知、情绪、行为上都有一定的偏差，身体也有了明显的症状。能在如此艰难困苦的情况下，你敞开心门来这里勇敢地求助，抱抱。低自尊人格特质让自己觉得一无是处你可能对心理学有比较深入的接触和了解，对自己的情况也有很好的觉察，在标题中就点明了自己现状可能的原因是“低自尊，缺乏安全感”。临床心理学家梅兰妮将【自尊】定义为：一个人看待自己的方式、对自己产生的评估，并由此赋予自己的价值感。而低自尊者通常对自己有消极的整体看法，他们通常消极地评价或评判自己，对自己的存在价值也持有消极的态度，习惯性地将所有问题都内归因，认为自己真的很不好。在这种信念的支配下他们往往对自己会有很多的负面评价，出现问题就会认为是自己的不好导致的，从而陷入内心的烦躁与自责中。从你的叙述中可以看出，这确实比较符合你对自己的定义。而自残自虐自伤可能是你对不配拥有不配得到的想法驱使，通过伤害自己来自证自己的不配得感。觉察自动化思维列出证据接纳自我发展自信其实，这不是你的错，你已经很努力，还是个孝顺的孩子。看着这样的你，感觉很心疼，给你提供几个建议，供参考：提高自己的认知。低自尊的人会习惯性将问题归纳到自己身上，但很多时候问题都是多因单果。你可以问问自己，这种对自己一无是处的判断从何而来？这是真的么？是不是自己确定的目标等太高太远，不符合实际情况？在日常生活中，你可能需要觉察这种不配得的【自动化思维】并提供相应证据，看看它的合理性和依据，是主观的还是客观的。“自动化思维”往往是我们直觉的判断，未加思考便直接进入脑海。但它对于后续的情绪、思维以及行为都会产生一系列的影响。比如，你可以问问自己，这个低自尊从何而来？它让你想到了什么？有些什么样的感受？接纳自我发展自信。比如，觉得自己一无是处，从你的描述中，至少感觉到可能你对心理学、文字等都是比较易感，你很勇敢地敞开，你在如此艰难的情况下的坚持坚韧，这些都是你显而易见的优点。你可以问问自己：你的优点、优势是什么？你有哪些天赋或特长？你喜欢自己的方面是什么？别人夸奖你或喜欢你的方面又是什么？目前为止，你已经取得的成绩、成就有哪些？凭借自己的努力，你克服过哪些困难？你已经25岁，可以为自己的人生负责。《一念之转》这本书或许能让你的念头有所改变，推荐阅读。当你开始不断聚焦在这些正向的方面，并为你写下的每一条提供充足的证据或例子，你会慢慢地感受到起自信，因为你真正开始认真地去关注并感受它们了。你需要不断地温故知新，可能会有不一样的体验。其实，真正一无是处的人不会觉得自己一无是处；认为自己一事无成的人，往往是对美好有热烈向往的人。希望我的回答能给你提供一些借鉴和思考。世界和我爱着你。
